,category,value,ques,ans
295,ben jerry' flavor,$400,the caffein from russia with buzz mix liqueur ice cream both flavor like thi with espresso fudg chip,coffe
296,footbal one hundred and one,$200,despit thi nicknam for a footbal it 's actual made of leather,pigskin
297,a date with densiti,$1000,hdl consid a good form of cholesterol are short for high densiti these,lipoprotein
298,inter mural,$1000,from the old english for twist thread to twist two or more fiber togeth to form a singl strand,intertwin
299,of wing,$200,it ca n't breath fire but a dragonfli doe have thi mani wing,four
300,insid outsid,$200,nutrit program to get you back into your old levi 's,diet
301,music' miss person,$1000,don henley ca n't read,johnni
302,jack be nimbl,$400,thi prairi nativ seen here is found throughout western north america,jackrabbit
303,seven eight or nine,$400,the one that start with two vowel,eight
304,two thousand and nine headlin in the city' newspap,$400,from it sun time former blagojevich fund raiser get thirty-seven month in prison,chicago
305,pop music,$200,thi band 's two thousand and one cd weather spent eight consecut week atop the billboard album chart,creed
306,fashion histori,$200,"emilio pucci wa discov in one thousand, nine hundred and forty-seven when he design hi own cloth for thi winter sport",ski
307,ye god,$200,of bingo fungo or dongo the one that is n't an african god,fungo
308,santa' come,$200,twenty year ago santa brought me an instant camera from thi compani now i want their pogo instant mobil printer,polaroid
309,u s citi nicknam,$400,the gateway of the south the big peach,atlanta
310,complet the bibl quot,$200,she brought forth her firstborn son and wrap him in cloth,swaddl
311,food for thought,$400,cheryl of the clue crew report from the atlanta zoo the wristbon of the giant panda are elong act a thumb for hold stalk of thi food it primari diet,bamboo
312,world of food,$200,in a mexican restaur you can get your choic of flour tortilla or thi type,corn
313,i am a camera,$200,"in one thousand, nine hundred and forty-seven thi compani introduc an instant camera that could deliv a finish print in sixty second",polaroid
314,sport,$1000,home of the traver stake thi n y racetrack is north america 's oldest continu oper track,saratoga
315,food o drink o,$1000,yukon gold is a type of thi,potato
316,shell,$400,the famili of shell seen here is call by the name of thi mediterranean fruit,oliv
317,pop music,$400,in two thousand and six thi singer from the black eye pea releas thi solo album the dutch,fergi
318,think pink,$400,pink eleph on parad wa one of the song in thi film,dumbo
319,stori hotel,$400,when jonathan harker leav the golden krone hotel in thi novel an old woman give him a crucifix to wear,dracula
320,girl of song,$1000,the plain white t 's not tom jone score a hit with the two thousand and six ballad hey there thi girl,delilah
321,busi industri,$200,"in one thousand, nine hundred and eighty-six thi compani wa forc out of the instant camera market have violat seven polaroid patent",kodak
322,seafood diet,$200,probabl the first fish rais in captiv the rainbow speci of thi fish is most commonli found on farm,trout
323,monti python forev,$1000,in a sketch that take place in a world of superman a man who fix these is treat like a hero,bicycl
324,fit health,$1000,it 's a runner 's term for roll from the outsid of your foot to the insid roll back is supin,pronat
325,salut the flag,$400,the flag of thi countri combin part of the old flag of zanzibar tanganyika,tanzania
326,the stock market,$400,thi print term refer to fund deposit with a broker to protect the broker against loss,margin
327,d in cook,$200,thi french mustard often made with white wine is a popular ingredi in sauc,dijon
328,w ord,$400,ah one ah two it 's the marin snail in the photo look at you,whelk
329,tv fact,$400,adrian paul star a duncan macleod an immort in the seri base on thi movi,highland
330,british histori datebook,$1000,"januari nine one thousand, eight hundred and six the state funer for thi naval war hero is conduct",nelson
331,french bred,$200,"thi power 12th centuri queen wa born in aquitain in one thousand, one hundred and twenty-two a d",eleanor
332,bull,$200,garri trudeau base thi comic strip on bull tale a strip he creat while attend yale,doonesburi
333,have a whiskey,$400,whiskey is usual about forty alcohol which is equal to thi number in proof,eighty
334,histor militari therapi session,$200,i brought thirty-seven eleph on my two hundred and eighteen b c cross of the alp but onli one surviv i feel bad about that,hannib
335,state motto,$200,montana oro y plata translat a gold and thi,silver
336,by the number,$1000,hello my name is jame thrash nfl wide receiv like me usual wear number that begin with thi,eight
337,that wa entertain,$200,"the instrument a href http www j archiv com medium two thousand and six six one j two jpg target blank seen a a href http www j archiv com medium two thousand and six six one j 02a jpg target blank here a belong to thi musician who die in one thousand, nine hundred and eighty-seven",liberac
338,booz,$1000,one cover stori in the magazin devot to name for thi liquor wa the birth of blend,whiskey
339,two letter crossword helper,$400,aa basalt lava have a rough surfac from thi languag that brought u the lanai,hawaiian
340,let' call tripl a,$200,from the italian for bad air thi diseas kill more than one million peopl each year,malaria
341,love marriag,$1000,tradit when a jewish coupl marri it 's under a canopi call thi,chuppah
342,tv titl place,$1000,jason lee a an elvi imperson cop beat,memphi
343,the 21st centuri with cnn,$400,done to prevent repeat vote the a href http www j archiv com medium two thousand and nine five eleven j four wmv purpl finger a were a symbol of the return of democraci to thi countri,iraq
344,unreal estat,$400,number of fabul wealthi citi of cibola the spanish explor coronado wa look for,seven
345,capit,$1000,"in one thousand, eight hundred and fifty-seven queen victoria chose it a a north american nation capit",ottawa
346,tv weapon,$1000,yanci butler a sara pezzini wield thi titl sword that 's a mystic shape shift talisman of power,witchblad
347,state song,$400,state whose state song is heard here go badger,wisconsin
348,v like seven letter word,$200,crayola band aid come in thi kind of pack that give you lot of choic,varieti
349,my oh my,$200,it 's the medic term for nearsighted,myopia
350,the bibl,$1000,nonagenarian live to ninety we 're not sure what to call seth thi father of hi who both reach nine hundred,adam
351,on the stage,$1000,all the origin b'way cast except dian keaton bare all in a group nude scene in thi music about hippi,hair
352,slogan,$1000,thi airlin is a whole differ anim,frontier
353,doubl d word,$200,it follow step corpor jacob 's,ladder
354,on the fli,$200,like most insect all fli are divid into three part thorax abdomen thi,head
355,cityscap,$1000,in two thousand and seven greek in thi capit citi start tear down the wall separ their sector from the turks',nicosia
356,first name,$1000,thi first name of a jane austen charact is also that of ethelr 's queen,emma
357,y ? becaus we like you,$1000,sana is the capit of thi middl eastern countri,yemen
358,fun with fashion,$400,made by combin natur miner with quartz sand these swarovski product sparkl on even bag,crystal
359,biolo g,$1000,in plant it 's the initi develop growth stage from a seed or spore,germin
360,jackson five,$1000,dure thi virginia battl stonewal jackson wa fire upon by hi own men he die a few day later,chancellorsvil
361,religion,$400,christma in decemb twenty-five thi holiday around the same time start on kislev twenty-five on the jewish calendar,hanukkah
362,gener inform,$200,thi titl folk stori guy steal a golden egg lay hen bag of gold a golden harp the giant cide come later,jack
363,what are you do ?,$1000,if you 're orat for hour in the senat to prevent a vote you 're do thi,filibust
364,speak of the devil,$1000,john donn in best understand sin began angel sinn 'd first then devil and then him,man
365,green food,$1000,a sauc call tzatziki is made with yogurt thi cool crisp veggi,cucumb
366,good conductor,$1000,water 's conduct come from these particl like posit sodium one neg chlorin one,ion
367,famou shamu,$1000,"robert b parker introduc thi one name p i in one thousand, nine hundred and seventy-four 's the godwulf manuscript",spenser
368,area,$400,the region seen here three hundred and forty-five zero squar mile in northern europ,scandinavia
369,arch eolog,$400,the window the garden of eden are found in thi state 's arch nation park,utah
370,saint,$200,thi archangel is the patron saint of messeng,gabriel
